import time: self [us] | cumulative | imported package
import time:       132 |        132 |   _io
import time:        23 |         23 |   marshal
import time:       262 |        262 |   posix
import time:       475 |        890 | _frozen_importlib_external
import time:        62 |         62 |   time
import time:       188 |        250 | zipimport
import time:        33 |         33 |     _codecs
import time:       454 |        487 |   codecs
import time:       325 |        325 |   encodings.aliases
import time:       371 |       1181 | encodings
import time:       133 |        133 | encodings.utf_8
import time:        71 |         71 | _signal
import time:        23 |         23 |     _abc
import time:       148 |        171 |   abc
import time:       117 |        288 | io
import time:        46 |         46 |       _stat
import time:        77 |        123 |     stat
import time:       702 |        702 |     _collections_abc
import time:        56 |         56 |       errno
import time:        79 |         79 |       genericpath
import time:       109 |        243 |     posixpath
import time:       377 |       1443 |   os
import time:        81 |         81 |   _sitebuiltins
import time:       323 |        323 |   encodings.utf_8_sig
import time:       496 |        496 |   _distutils_hack
import time:        99 |         99 |   sitecustomize
import time:        35 |         35 |   usercustomize
import time:       811 |       3285 | site
import time:       108 |        108 | linecache
import time:       118 |        118 |     __future__
import time:       209 |        209 |       types
import time:       156 |        156 |         _weakrefset
import time:        99 |         99 |         itertools
import time:       341 |        595 |       weakref
import time:       117 |        117 |       copyreg
import time:       141 |       1060 |     copy
import time:        90 |         90 |             keyword
import time:        65 |         65 |               _operator
import time:       206 |        271 |             operator
import time:       141 |        141 |             reprlib
import time:        49 |         49 |             _collections
import time:       793 |       1341 |           collections
import time:        37 |         37 |           _functools
import time:       444 |       1821 |         functools
import time:       457 |        457 |           contextlib
import time:      1269 |       1269 |             enum
import time:        61 |         61 |               _sre
import time:       196 |        196 |                 re._constants
import time:       268 |        463 |               re._parser
import time:        89 |         89 |               re._casefix
import time:       453 |       1065 |             re._compiler
import time:       404 |       2737 |           re
import time:       120 |        120 |           fnmatch
import time:       370 |       3682 |         glob
import time:       409 |       5911 |       pathlib._abc
import time:        51 |         51 |           _winapi
import time:        41 |         41 |           nt
import time:        32 |         32 |           nt
import time:        30 |         30 |           nt
import time:        27 |         27 |           nt
import time:        25 |         25 |           nt
import time:        26 |         26 |           nt
import time:        36 |         36 |           nt
import time:       173 |        435 |         ntpath
import time:       242 |        242 |         warnings
import time:        38 |         38 |         pwd
import time:       125 |        125 |         grp
import time:       438 |       1276 |       pathlib._local
import time:        98 |       7284 |     pathlib
import time:        41 |         41 |       _typing
import time:      1961 |       2001 |     typing
import time:        36 |         36 |         atexit
import time:       118 |        118 |         importlib
import time:       668 |        668 |             _ast
import time:      1166 |       1834 |           ast
import time:       136 |        136 |               _opcode
import time:       165 |        165 |               _opcode_metadata
import time:       215 |        514 |             opcode
import time:       886 |       1400 |           dis
import time:        50 |         50 |           importlib.machinery
import time:       131 |        131 |             token
import time:        31 |         31 |             _tokenize
import time:       652 |        813 |           tokenize
import time:      1469 |       5565 |         inspect
import time:        65 |         65 |           _locale
import time:       705 |        770 |         locale
import time:       592 |        592 |             textwrap
import time:       157 |        157 |             _colorize
import time:       699 |       1447 |           traceback
import time:        29 |         29 |             _string
import time:       369 |        397 |           string
import time:       570 |        570 |           threading
import time:      1285 |       3696 |         logging
import time:       473 |        473 |           dataclasses
import time:       274 |        747 |         pprint
import time:       239 |        239 |           zlib
import time:       158 |        158 |             _compression
import time:       172 |        172 |             _bz2
import time:       192 |        521 |           bz2
import time:       215 |        215 |             _lzma
import time:       170 |        384 |           lzma
import time:       753 |       1895 |         shutil
import time:       767 |        767 |           signal
import time:       153 |        153 |           fcntl
import time:        46 |         46 |           msvcrt
import time:        90 |         90 |           _posixsubprocess
import time:       102 |        102 |           select
import time:       136 |        136 |             math
import time:       414 |        549 |           selectors
import time:       667 |       2372 |         subprocess
import time:       106 |        106 |               _bisect
import time:        87 |        193 |             bisect
import time:       105 |        105 |             _random
import time:       280 |        577 |           random
import time:       347 |        923 |         tempfile
import time:       100 |        100 |           packaging
import time:       107 |        107 |           packaging._structures
import time:      1503 |       1708 |         packaging.version
import time:       234 |        234 |           matplotlib._api.deprecation
import time:       305 |        538 |         matplotlib._api
import time:        78 |         78 |         matplotlib._version
import time:       151 |        151 |               _struct
import time:        76 |        226 |             struct
import time:       297 |        522 |           gzip
import time:       212 |        212 |           shlex
import time:       131 |        131 |             numpy.version
import time:        95 |         95 |             numpy._expired_attrs_2_0
import time:       100 |        100 |                 numpy._utils._convertions
import time:       110 |        210 |               numpy._utils
import time:       200 |        410 |             numpy._globals
import time:        19 |         19 |               numpy._distributor_init_local
import time:        96 |        114 |             numpy._distributor_init
import time:       262 |        262 |                         _datetime
import time:       158 |        419 |                       datetime
import time:       228 |        228 |                       numpy.exceptions
import time:       238 |        238 |                       numpy._core._exceptions
import time:       104 |        104 |                           _contextvars
import time:        71 |        175 |                         contextvars
import time:        99 |        274 |                       numpy._core.printoptions
import time:      2249 |       2249 |                       numpy.dtypes
import time:      5707 |       9112 |                     numpy._core._multiarray_umath
import time:       130 |        130 |                       numpy._utils._inspect
import time:       267 |        396 |                     numpy._core.overrides
import time:       551 |      10059 |                   numpy._core.multiarray
import time:       164 |        164 |                   numpy._core.umath
import time:       379 |        379 |                     numbers
import time:       175 |        175 |                     numpy._core._dtype
import time:       100 |        100 |                     numpy._core._string_helpers
import time:       196 |        196 |                     numpy._core._type_aliases
import time:       247 |       1096 |                   numpy._core.numerictypes
import time:       164 |        164 |                     numpy._core._ufunc_config
import time:       179 |        179 |                           _compat_pickle
import time:       202 |        202 |                           _pickle
import time:       643 |       1023 |                         pickle
import time:       182 |       1205 |                       numpy._core._methods
import time:       906 |       2110 |                     numpy._core.fromnumeric
import time:       154 |       2427 |                   numpy._core._machar
import time:       419 |        419 |                       numpy._core.shape_base
import time:       113 |        113 |                       numpy._core._asarray
import time:       483 |        483 |                       numpy._core.arrayprint
import time:       589 |       1602 |                     numpy._core.numeric
import time:       271 |       1873 |                   numpy._core.einsumfunc
import time:       205 |        205 |                   numpy._core.function_base
