import time: self [us] | cumulative | imported package
import time:       141 |        141 |   _io
import time:        27 |         27 |   marshal
import time:       214 |        214 |   posix
import time:       490 |        869 | _frozen_importlib_external
import time:        65 |         65 |   time
import time:       174 |        239 | zipimport
import time:        32 |         32 |     _codecs
import time:       411 |        443 |   codecs
import time:       299 |        299 |   encodings.aliases
import time:       394 |       1134 | encodings
import time:       128 |        128 | encodings.utf_8
import time:        68 |         68 | _signal
import time:        20 |         20 |     _abc
import time:       115 |        135 |   abc
import time:       119 |        253 | io
import time:        40 |         40 |       _stat
import time:        82 |        122 |     stat
import time:       643 |        643 |     _collections_abc
import time:        46 |         46 |       errno
import time:        66 |         66 |       genericpath
import time:        98 |        210 |     posixpath
import time:       347 |       1320 |   os
import time:        66 |         66 |   _sitebuiltins
import time:       311 |        311 |   encodings.utf_8_sig
import time:       429 |        429 |   _distutils_hack
import time:       105 |        105 |   sitecustomize
import time:        37 |         37 |   usercustomize
import time:       782 |       3047 | site
import time:       111 |        111 | linecache
import time:       189 |        189 |     __future__
import time:       187 |        187 |       types
import time:       140 |        140 |         _weakrefset
import time:        84 |         84 |         itertools
import time:       293 |        515 |       weakref
import time:       105 |        105 |       copyreg
import time:       129 |        934 |     copy
import time:        96 |         96 |             keyword
import time:        57 |         57 |               _operator
import time:       192 |        249 |             operator
import time:       121 |        121 |             reprlib
import time:        48 |         48 |             _collections
import time:       757 |       1270 |           collections
import time:        41 |         41 |           _functools
import time:       395 |       1705 |         functools
import time:       412 |        412 |           contextlib
import time:      1182 |       1182 |             enum
import time:        58 |         58 |               _sre
import time:       190 |        190 |                 re._constants
import time:       274 |        464 |               re._parser
import time:        77 |         77 |               re._casefix
import time:       375 |        973 |             re._compiler
import time:       402 |       2556 |           re
import time:       106 |        106 |           fnmatch
import time:       362 |       3435 |         glob
import time:       335 |       5474 |       pathlib._abc
import time:        47 |         47 |           _winapi
import time:        38 |         38 |           nt
import time:        31 |         31 |           nt
import time:        34 |         34 |           nt
import time:        27 |         27 |           nt
import time:        28 |         28 |           nt
import time:        28 |         28 |           nt
import time:        29 |         29 |           nt
import time:       169 |        426 |         ntpath
import time:       211 |        211 |         warnings
import time:        39 |         39 |         pwd
import time:       143 |        143 |         grp
import time:       377 |       1195 |       pathlib._local
import time:        98 |       6766 |     pathlib
import time:        40 |         40 |       _typing
import time:      1950 |       1990 |     typing
import time:       131 |        131 |       numpy.version
import time:        83 |         83 |       numpy._expired_attrs_2_0
import time:        92 |         92 |           numpy._utils._convertions
import time:        88 |        180 |         numpy._utils
import time:       186 |        366 |       numpy._globals
import time:        20 |         20 |         numpy._distributor_init_local
import time:       103 |        122 |       numpy._distributor_init
import time:       243 |        243 |                   _datetime
import time:       158 |        401 |                 datetime
import time:       157 |        157 |                 math
import time:       182 |        182 |                 numpy.exceptions
import time:       199 |        199 |                 numpy._core._exceptions
import time:        78 |         78 |                     _contextvars
import time:        67 |        144 |                   contextvars
import time:        84 |        228 |                 numpy._core.printoptions
import time:       345 |        345 |                 numpy.dtypes
import time:      4481 |       5989 |               numpy._core._multiarray_umath
import time:       118 |        118 |                 numpy._utils._inspect
import time:       262 |        379 |               numpy._core.overrides
import time:       472 |       6838 |             numpy._core.multiarray
import time:       138 |        138 |             numpy._core.umath
import time:       261 |        261 |               numbers
import time:       141 |        141 |               numpy._core._dtype
import time:        77 |         77 |               numpy._core._string_helpers
import time:       193 |        193 |               numpy._core._type_aliases
import time:       231 |        900 |             numpy._core.numerictypes
import time:       131 |        131 |               numpy._core._ufunc_config
import time:       160 |        160 |                       _struct
import time:        94 |        253 |                     struct
import time:       178 |        178 |                     _compat_pickle
import time:       176 |        176 |                     _pickle
import time:       660 |       1267 |                   pickle
import time:       178 |       1444 |                 numpy._core._methods
import time:       911 |       2355 |               numpy._core.fromnumeric
import time:       127 |       2612 |             numpy._core._machar
import time:       241 |        241 |                 numpy._core.shape_base
import time:        97 |         97 |                 numpy._core._asarray
