import time: self [us] | cumulative | imported package
import time:       165 |        165 |   _io
import time:        27 |         27 |   marshal
import time:       267 |        267 |   posix
import time:       566 |       1023 | _frozen_importlib_external
import time:        68 |         68 |   time
import time:       209 |        277 | zipimport
import time:        34 |         34 |     _codecs
import time:       483 |        517 |   codecs
import time:       337 |        337 |   encodings.aliases
import time:       468 |       1321 | encodings
import time:       150 |        150 | encodings.utf_8
import time:        70 |         70 | _signal
import time:        26 |         26 |     _abc
import time:       129 |        155 |   abc
import time:       130 |        284 | io
import time:        47 |         47 |       _stat
import time:        85 |        132 |     stat
import time:       733 |        733 |     _collections_abc
import time:        53 |         53 |       errno
import time:        82 |         82 |       genericpath
import time:       114 |        248 |     posixpath
import time:       414 |       1524 |   os
import time:        75 |         75 |   _sitebuiltins
import time:       359 |        359 |   encodings.utf_8_sig
import time:       511 |        511 |   _distutils_hack
import time:       108 |        108 |   sitecustomize
import time:        37 |         37 |   usercustomize
import time:      1027 |       3637 | site
import time:       135 |        135 | linecache
import time:       201 |        201 |     __future__
import time:       388 |        388 |       types
import time:       160 |        160 |         _weakrefset
import time:        89 |         89 |         itertools
import time:       337 |        584 |       weakref
import time:       115 |        115 |       copyreg
import time:       175 |       1260 |     copy
import time:       100 |        100 |             keyword
import time:        64 |         64 |               _operator
import time:       212 |        275 |             operator
import time:       151 |        151 |             reprlib
import time:        46 |         46 |             _collections
import time:       830 |       1400 |           collections
import time:        46 |         46 |           _functools
import time:       446 |       1892 |         functools
import time:       451 |        451 |           contextlib
import time:      1016 |       1016 |             enum
import time:        65 |         65 |               _sre
import time:       234 |        234 |                 re._constants
import time:       300 |        533 |               re._parser
import time:        96 |         96 |               re._casefix
import time:       531 |       1224 |             re._compiler
import time:       429 |       2668 |           re
import time:       127 |        127 |           fnmatch
import time:       398 |       3643 |         glob
import time:       558 |       6091 |       pathlib._abc
import time:        50 |         50 |           _winapi
import time:        34 |         34 |           nt
import time:        29 |         29 |           nt
import time:        28 |         28 |           nt
import time:        32 |         32 |           nt
import time:        26 |         26 |           nt
import time:        28 |         28 |           nt
import time:        30 |         30 |           nt
import time:       182 |        434 |         ntpath
import time:       267 |        267 |         warnings
import time:        43 |         43 |         pwd
import time:       173 |        173 |         grp
import time:       451 |       1366 |       pathlib._local
import time:       134 |       7590 |     pathlib
import time:        35 |         35 |       _typing
import time:      2008 |       2043 |     typing
import time:       156 |        156 |       numpy.version
import time:        95 |         95 |       numpy._expired_attrs_2_0
import time:       118 |        118 |           numpy._utils._convertions
import time:       120 |        237 |         numpy._utils
import time:       205 |        441 |       numpy._globals
import time:        21 |         21 |         numpy._distributor_init_local
import time:       114 |        135 |       numpy._distributor_init
import time:       276 |        276 |                   _datetime
import time:       181 |        456 |                 datetime
import time:       174 |        174 |                 math
import time:       213 |        213 |                 numpy.exceptions
import time:       240 |        240 |                 numpy._core._exceptions
import time:       102 |        102 |                     _contextvars
import time:        95 |        196 |                   contextvars
import time:       104 |        300 |                 numpy._core.printoptions
import time:       280 |        280 |                 numpy.dtypes
import time:      6002 |       7661 |               numpy._core._multiarray_umath
import time:       134 |        134 |                 numpy._utils._inspect
import time:       269 |        402 |               numpy._core.overrides
import time:       489 |       8552 |             numpy._core.multiarray
import time:       150 |        150 |             numpy._core.umath
import time:       304 |        304 |               numbers
import time:       158 |        158 |               numpy._core._dtype
import time:       108 |        108 |               numpy._core._string_helpers
import time:       212 |        212 |               numpy._core._type_aliases
import time:       241 |       1021 |             numpy._core.numerictypes
import time:       158 |        158 |               numpy._core._ufunc_config
import time:       194 |        194 |                       _struct
import time:       112 |        305 |                     struct
import time:       200 |        200 |                     _compat_pickle
import time:       210 |        210 |                     _pickle
import time:       728 |       1442 |                   pickle
import time:       176 |       1618 |                 numpy._core._methods
import time:      1100 |       2717 |               numpy._core.fromnumeric
import time:       143 |       3017 |             numpy._core._machar
import time:       281 |        281 |                 numpy._core.shape_base
import time:       111 |        111 |                 numpy._core._asarray
import time:       559 |        559 |                 numpy._core.arrayprint
import time:       716 |       1666 |               numpy._core.numeric
import time:       324 |       1990 |             numpy._core.einsumfunc
import time:       193 |        193 |             numpy._core.function_base
import time:       259 |        259 |             numpy._core.getlimits
import time:       145 |        145 |             numpy._core.memmap
import time:       327 |        327 |             numpy._core.records
import time:      1139 |       1139 |             numpy._core._add_newdocs
import time:       277 |        277 |             numpy._core._add_newdocs_scalars
import time:        99 |         99 |             numpy._core._dtype_ctypes
import time:        61 |         61 |                 _ast
import time:      1052 |       1112 |               ast
import time:       540 |        540 |                   threading
import time:       344 |        884 |                 sysconfig
import time:       376 |        376 |                 _ctypes
import time:       416 |        416 |                 ctypes._endian
import time:       656 |       2329 |               ctypes
import time:      2421 |       5861 |             numpy._core._internal
import time:       153 |        153 |             numpy._pytesttester
import time:       356 |      23532 |           numpy._core
import time:        18 |      23549 |         numpy._core._multiarray_umath
import time:       250 |      23799 |       numpy.__config__
import time:       215 |        215 |                         numpy._typing._nbit_base
import time:       171 |        171 |                         numpy._typing._nested_sequence
import time:        85 |         85 |                         numpy._typing._shape
import time:      1619 |       2088 |                       numpy._typing._array_like
import time:      1141 |       1141 |                       numpy._typing._char_codes
import time:      1184 |       1184 |                       numpy._typing._dtype_like
import time:       103 |        103 |                       numpy._typing._nbit
import time:        86 |         86 |                       numpy._typing._scalars
import time:        69 |         69 |                       numpy._typing._ufunc
import time:       277 |       4945 |                     numpy._typing
import time:       198 |        198 |                       numpy.lib._stride_tricks_impl
import time:       267 |        464 |                     numpy.lib._twodim_base_impl
import time:        94 |         94 |                       numpy.lib._array_utils_impl
import time:        91 |        185 |                     numpy.lib.array_utils
import time:       319 |        319 |                     numpy.linalg._umath_linalg
import time:      1305 |       7216 |                   numpy.linalg._linalg
import time:       123 |        123 |                   numpy.linalg.linalg
import time:       150 |       7487 |                 numpy.linalg
import time:       285 |       7772 |               numpy.matrixlib.defmatrix
import time:       124 |       7895 |             numpy.matrixlib
import time:       316 |        316 |               numpy.lib._histograms_impl
import time:      1437 |       1752 |             numpy.lib._function_base_impl
import time:       127 |        127 |             numpy.lib.stride_tricks
import time:       391 |      10163 |           numpy.lib._index_tricks_impl
import time:       319 |      10482 |         numpy.lib._arraypad_impl
import time:       607 |        607 |         numpy.lib._arraysetops_impl
import time:       162 |        162 |         numpy.lib._arrayterator_impl
import time:       399 |        399 |         numpy.lib._nanfunctions_impl
import time:        46 |         46 |                   _wmi
import time:       560 |        605 |                 platform
import time:       656 |        656 |                 textwrap
import time:       231 |       1491 |               numpy.lib._utils_impl
import time:       227 |       1718 |             numpy.lib._format_impl
import time:       114 |       1832 |           numpy.lib.format
import time:       235 |        235 |           numpy.lib._datasource
import time:       311 |        311 |           numpy.lib._iotools
import time:       574 |       2950 |         numpy.lib._npyio_impl
import time:       327 |        327 |             numpy.lib._ufunclike_impl
import time:       233 |        560 |           numpy.lib._type_check_impl
import time:       501 |       1061 |         numpy.lib._polynomial_impl
import time:       362 |        362 |         numpy.lib._shape_base_impl
import time:       124 |        124 |         numpy.lib._version
import time:        88 |         88 |         numpy.lib.introspect
import time:       154 |        154 |         numpy.lib.mixins
import time:        80 |         80 |         numpy.lib.npyio
import time:       220 |        220 |           numpy.lib._scimath_impl
import time:        69 |        289 |         numpy.lib.scimath
import time:       280 |      17031 |       numpy.lib
import time:       120 |        120 |       numpy._array_api_info
import time:     12811 |      54584 |     numpy
import time:        32 |         32 |             atexit
import time:       116 |        116 |               importlib
import time:       297 |        297 |                     zlib
import time:       151 |        151 |                       _compression
import time:       199 |        199 |                       _bz2
import time:       177 |        527 |                     bz2
import time:       255 |        255 |                       _lzma
import time:       177 |        432 |                     lzma
import time:       492 |       1746 |                   shutil
import time:       148 |        148 |                       _bisect
import time:       326 |        474 |                     bisect
import time:       127 |        127 |                     _random
import time:       323 |        923 |                   random
import time:       351 |       3019 |                 tempfile
import time:       137 |        137 |                       _opcode
import time:       164 |        164 |                       _opcode_metadata
import time:       208 |        507 |                     opcode
import time:       624 |       1131 |                   dis
import time:        62 |         62 |                   importlib.machinery
import time:       121 |        121 |                     token
import time:        27 |         27 |                     _tokenize
import time:       569 |        715 |                   tokenize
import time:      1557 |       3463 |                 inspect
import time:       360 |        360 |                 importlib.resources.abc
import time:       297 |       7137 |               importlib.resources._common
import time:       110 |        110 |               importlib.resources._functional
import time:       165 |       7526 |             importlib.resources
import time:       130 |       7687 |           certifi.core
import time:       115 |       7802 |         certifi
import time:       243 |        243 |           array
import time:       148 |        148 |           pyproj._compat
import time:       164 |        164 |               _colorize
import time:       578 |        741 |             traceback
import time:        28 |         28 |               _string
import time:       411 |        439 |             string
import time:      1500 |       2679 |           logging
import time:       192 |        192 |                   _json
import time:       459 |        650 |                 json.scanner
import time:       325 |        974 |               json.decoder
import time:       294 |        294 |               json.encoder
import time:       175 |       1442 |             json
import time:       252 |       1694 |           pyproj.utils
import time:      5704 |      10466 |         pyproj._context
import time:       271 |        271 |         pyproj._network
import time:       182 |      18719 |       pyproj.network
import time:       118 |        118 |           email
import time:       208 |        208 |             binascii
import time:       114 |        114 |               importlib._abc
import time:       145 |        259 |             importlib.util
import time:       155 |        155 |               zipfile._path.glob
import time:       355 |        510 |             zipfile._path
import time:       764 |       1739 |           zipfile
import time:       213 |        213 |           importlib.metadata._meta
import time:       195 |        195 |           importlib.metadata._collections
import time:        86 |         86 |           importlib.metadata._functools
import time:        75 |         75 |           importlib.metadata._itertools
import time:       258 |        258 |           importlib.abc
import time:      1051 |       3731 |         importlib.metadata
import time:       124 |       3854 |       pyproj._show_versions
import time:       274 |        274 |       pyproj._version
import time:       602 |        602 |             dataclasses
import time:      1120 |       1721 |           pyproj.aoi
import time:       213 |        213 |           pyproj.crs.datum
import time:       614 |        614 |             pyproj.enums
import time:       447 |       1061 |           pyproj.crs.enums
import time:       149 |        149 |           pyproj.exceptions
import time:       461 |        461 |             pyproj._geod
import time:       198 |        198 |             pyproj.list
import time:       286 |        944 |           pyproj.geod
import time:       781 |       4866 |         pyproj._crs
import time:       393 |        393 |             pyproj.crs.coordinate_operation
import time:       244 |        636 |           pyproj.crs._cf1x8
import time:       172 |        172 |           pyproj.crs.coordinate_system
import time:       938 |       1745 |         pyproj.crs.crs
import time:       144 |       6754 |       pyproj.crs
import time:       517 |        517 |       pyproj.database
import time:       614 |        614 |         pyproj._transformer
import time:       106 |        106 |           pyproj.datadir
import time:      1618 |       1618 |               _hashlib
import time:       187 |        187 |               _blake2
import time:       209 |       2013 |             hashlib
import time:       134 |        134 |               urllib
import time:       226 |        226 |               base64
import time:       528 |        528 |                 http
import time:       325 |        325 |                     email.errors
import time:       164 |        164 |                         email.quoprimime
import time:        88 |         88 |                         email.base64mime
import time:       128 |        128 |                             quopri
import time:        83 |        210 |                           email.encoders
import time:       155 |        364 |                         email.charset
import time:       451 |       1066 |                       email.header
import time:      1222 |       1222 |                           ipaddress
import time:       780 |       2002 |                         urllib.parse
import time:       269 |        269 |                         email._parseaddr
import time:       358 |       2628 |                       email.utils
import time:       243 |       3936 |                     email._policybase
import time:       443 |       4703 |                   email.feedparser
import time:       194 |       4896 |                 email.parser
import time:       196 |        196 |                   email._encoded_words
import time:        98 |         98 |                   email.iterators
import time:       475 |        768 |                 email.message
import time:       348 |        348 |                   _socket
import time:       177 |        177 |                     select
import time:       473 |        649 |                   selectors
import time:      3417 |       4414 |                 socket
import time:      1044 |       1044 |                   _ssl
import time:      1747 |       2791 |                 ssl
import time:       829 |      14223 |               http.client
import time:       170 |        170 |                 urllib.response
import time:       208 |        378 |               urllib.error
import time:      1545 |      16504 |             urllib.request
import time:       242 |        242 |             pyproj._sync
import time:       160 |      18917 |           pyproj.sync
import time:      1760 |      20783 |         pyproj.transformer
import time:       261 |      21657 |       pyproj.proj
import time:       301 |        301 |       importlib.resources._adapters
import time:        70 |         70 |           importlib.resources._itertools
import time:       208 |        278 |         importlib.resources.readers
import time:        93 |        371 |       importlib.readers
import time:      6606 |      59048 |     pyproj
import time:       169 |        169 |       loguru._defaults
import time:       404 |        404 |               signal
import time:       277 |        680 |             multiprocessing.process
