import time: self [us] | cumulative | imported package
import time:       135 |        135 |   _io
import time:        25 |         25 |   marshal
import time:       210 |        210 |   posix
import time:       439 |        807 | _frozen_importlib_external
import time:        63 |         63 |   time
import time:       166 |        229 | zipimport
import time:        33 |         33 |     _codecs
import time:       423 |        456 |   codecs
import time:       300 |        300 |   encodings.aliases
import time:       361 |       1115 | encodings
import time:       125 |        125 | encodings.utf_8
import time:        66 |         66 | _signal
import time:        21 |         21 |     _abc
import time:       110 |        130 |   abc
import time:       116 |        246 | io
import time:        41 |         41 |       _stat
import time:        70 |        110 |     stat
import time:       634 |        634 |     _collections_abc
import time:        45 |         45 |       errno
import time:        65 |         65 |       genericpath
import time:        99 |        208 |     posixpath
import time:       349 |       1299 |   os
import time:        65 |         65 |   _sitebuiltins
import time:       360 |        360 |   encodings.utf_8_sig
import time:       447 |        447 |   _distutils_hack
import time:       156 |        156 |   sitecustomize
import time:        38 |         38 |   usercustomize
import time:       738 |       3100 | site
import time:       111 |        111 | linecache
import time:       101 |        101 |     __future__
import time:       175 |        175 |       types
import time:       137 |        137 |         _weakrefset
import time:        78 |         78 |         itertools
import time:       299 |        512 |       weakref
import time:       113 |        113 |       copyreg
import time:       120 |        919 |     copy
import time:        96 |         96 |             keyword
import time:        56 |         56 |               _operator
import time:       192 |        247 |             operator
import time:       137 |        137 |             reprlib
import time:        48 |         48 |             _collections
import time:       744 |       1270 |           collections
import time:        42 |         42 |           _functools
import time:       407 |       1718 |         functools
import time:       414 |        414 |           contextlib
import time:      1144 |       1144 |             enum
import time:        58 |         58 |               _sre
import time:       180 |        180 |                 re._constants
import time:       261 |        440 |               re._parser
import time:        72 |         72 |               re._casefix
import time:       377 |        945 |             re._compiler
import time:       394 |       2482 |           re
import time:       113 |        113 |           fnmatch
import time:       359 |       3367 |         glob
import time:       350 |       5434 |       pathlib._abc
import time:        46 |         46 |           _winapi
import time:        36 |         36 |           nt
import time:        30 |         30 |           nt
import time:        29 |         29 |           nt
import time:        25 |         25 |           nt
import time:        25 |         25 |           nt
import time:        26 |         26 |           nt
import time:        26 |         26 |           nt
import time:       155 |        393 |         ntpath
import time:       247 |        247 |         warnings
import time:        39 |         39 |         pwd
import time:       136 |        136 |         grp
import time:       374 |       1187 |       pathlib._local
import time:        91 |       6711 |     pathlib
import time:        43 |         43 |       _typing
import time:      1917 |       1960 |     typing
import time:       122 |        122 |       numpy.version
import time:        82 |         82 |       numpy._expired_attrs_2_0
import time:        92 |         92 |           numpy._utils._convertions
import time:        88 |        180 |         numpy._utils
import time:       188 |        368 |       numpy._globals
import time:        19 |         19 |         numpy._distributor_init_local
import time:        93 |        111 |       numpy._distributor_init
import time:       203 |        203 |                   _datetime
import time:       147 |        350 |                 datetime
import time:       138 |        138 |                 math
import time:       169 |        169 |                 numpy.exceptions
import time:       207 |        207 |                 numpy._core._exceptions
import time:        86 |         86 |                     _contextvars
import time:        65 |        151 |                   contextvars
